 Source Port, Destination Port,Flow Bytes/s, Flow Duration, SYN Flag Count,Total Length of Fwd Packets, Protocol, Label
36833,7931,12000000,1,0,12,6,Syn
35646,26907,244897.9592,49,0,12,6,Syn
15333,38344,233009.7087,103,0,12,6,Syn
32119,21119,222222.2222,108,0,12,6,Syn
48465,48465,2.123505477,50859299,0,72,6,Syn
56687,60136,12000000,1,0,12,6,Syn
7949,41674,233009.7087,103,0,12,6,Syn
65335,36597,413793.1034,58,0,12,6,Syn
37547,64374,210526.3158,114,0,12,6,Syn
62798,40909,12000000,1,0,12,6,Syn
39768,14722,12000000,1,0,12,6,Syn
42093,3507,184615.3846,130,0,12,6,Syn
25825,60067,12000000,1,0,12,6,Syn
57823,57823,0.918145072,65349150,0,60,6,Syn
62901,11349,1090909.091,11,0,12,6,Syn
10493,43130,12000000,1,0,12,6,Syn
32247,32689,272727.2727,88,0,12,6,Syn
49404,58244,12000000,1,0,12,6,Syn
56750,19289,470588.2353,51,0,12,6,Syn
32563,21202,12000000,1,0,12,6,Syn
40535,35660,12000000,1,0,12,6,Syn
12291,43320,12000000,1,0,12,6,Syn
49657,47018,250000,48,0,12,6,Syn
10356,27134,12000000,1,0,12,6,Syn
52127,30416,6000000,2,0,12,6,Syn
23799,63461,12000000,1,0,12,6,Syn
58859,64513,226415.0943,106,0,12,6,Syn
18312,1358,12000000,1,0,12,6,Syn
21255,25569,260869.5652,46,0,12,6,Syn
28983,9261,12000000,1,0,12,6,Syn
19243,7970,228571.4286,105,0,12,6,Syn
63204,12647,250000,48,0,12,6,Syn
11138,47464,233009.7087,103,0,12,6,Syn
64352,3081,180451.1278,133,0,12,6,Syn
64193,3777,1.945951731,36999890,0,48,6,Syn
43555,64048,158940.3974,151,0,12,6,Syn
928,731,12000000,1,0,12,6,Syn
57719,57719,1.779381033,53951345,0,72,6,Syn
40938,12669,240000,100,0,12,6,Syn
55657,26209,237623.7624,101,0,12,6,Syn
21169,51292,444444.4444,54,0,12,6,Syn
51377,13559,180451.1278,133,0,12,6,Syn
55870,62493,228571.4286,105,0,12,6,Syn
34068,63322,444444.4444,54,0,12,6,Syn
62388,11026,12000000,1,0,12,6,Syn
6457,39614,242424.2424,99,0,12,6,Syn
46474,28710,220183.4862,109,0,12,6,Syn
63449,63449,2.05743175,23330057,0,36,6,Syn
61059,49982,12000000,1,0,12,6,Syn
48583,48583,3.466392404,54235060,0,128,6,Syn
17685,49215,12000000,1,0,12,6,Syn
55721,60020,12000000,1,0,12,6,Syn
33253,56591,196721.3115,122,0,12,6,Syn
5699,17432,240000,100,0,12,6,Syn
33836,63781,12000000,1,0,12,6,Syn
16539,3211,12000000,1,0,12,6,Syn
32669,22076,237623.7624,101,0,12,6,Syn
13159,29985,12000000,1,0,12,6,Syn
6300,57560,250000,48,0,12,6,Syn
33532,20012,12000000,1,0,12,6,Syn
50596,19789,218181.8182,110,0,12,6,Syn
47341,9461,12000000,1,0,12,6,Syn
57929,44165,208695.6522,115,0,12,6,Syn
7630,6840,12000000,1,0,12,6,Syn
38936,23491,250000,48,0,12,6,Syn
40102,22890,250000,48,0,12,6,Syn
19155,1536,220183.4862,109,0,12,6,Syn
6457,33655,12000000,1,0,12,6,Syn
29676,49027,12000000,1,0,12,6,Syn
13217,62448,12000000,1,0,12,6,Syn
7852,26943,12000000,1,0,12,6,Syn
24221,57993,12000000,1,0,12,6,Syn
53483,53483,1.299549128,46169859,0,48,6,Syn
50393,50393,1.937177808,49556628,0,60,6,Syn
18365,3135,452830.1887,53,0,12,6,Syn
9025,26836,222222.2222,108,0,12,6,Syn
21784,60642,12000000,1,0,12,6,Syn
649,437,12000000,1,0,12,6,Syn
40116,18233,12000000,1,0,12,6,Syn
62765,35540,171428.5714,140,0,12,6,Syn
33310,3994,244897.9592,49,0,12,6,Syn
47981,62237,12000000,1,0,12,6,Syn
13274,10224,12000000,1,0,12,6,Syn
56570,9198,233009.7087,103,0,12,6,Syn
46181,40768,226415.0943,106,0,12,6,Syn
13377,50560,244897.9592,98,0,12,6,Syn
14665,12007,12000000,1,0,12,6,Syn
59908,36988,12000000,1,0,12,6,Syn
47570,19415,12000000,1,0,12,6,Syn
42735,13095,12000000,1,0,12,6,Syn
28678,17602,12000000,1,0,12,6,Syn
16395,35250,240000,100,0,12,6,Syn
9578,4247,12000000,1,0,12,6,Syn
53129,23574,233009.7087,103,0,12,6,Syn
61080,61080,2.525769559,57012327,0,96,6,Syn
16825,5971,186046.5116,129,0,12,6,Syn
33593,37502,12000000,1,0,12,6,Syn
58014,7724,244897.9592,49,0,12,6,Syn
38715,54089,12000000,1,0,12,6,Syn
33276,3898,12000000,1,0,12,6,Syn
34728,43746,218181.8182,110,0,12,6,Syn
61168,49009,12000000,1,0,12,6,Syn
37196,10330,12000000,1,0,12,6,Syn
62694,10979,228571.4286,105,0,12,6,Syn
7293,41129,12000000,1,0,12,6,Syn
26731,9452,222222.2222,108,0,12,6,Syn
32692,1388,12000000,1,0,12,6,Syn
54665,41072,250000,48,0,12,6,Syn
28373,60787,226415.0943,106,0,12,6,Syn
50697,65120,244897.9592,49,0,12,6,Syn
8970,52685,12000000,1,0,12,6,Syn
47465,47465,1.286145213,55981237,0,60,6,Syn
31415,9164,285714.2857,84,0,12,6,Syn
44221,31525,292682.9268,82,0,12,6,Syn
47404,16081,12000000,1,0,12,6,Syn
33949,47048,12000000,1,0,12,6,Syn
27361,65427,12000000,1,0,12,6,Syn
34527,10027,12000000,1,0,12,6,Syn
61326,38047,247422.6804,97,0,12,6,Syn
55106,7240,218181.8182,110,0,12,6,Syn
596,514,12000000,1,0,12,6,Syn
5627,24538,12000000,1,0,12,6,Syn
14395,43503,244897.9592,49,0,12,6,Syn
63902,3486,2.364542987,65974694,0,96,6,Syn
9237,53804,12000000,1,0,12,6,Syn
62605,37596,6000000,2,0,12,6,Syn
62507,45123,12000000,1,0,12,6,Syn
50773,46695,242424.2424,99,0,12,6,Syn
47285,27120,12000000,1,0,12,6,Syn
59358,59358,2.066935145,58056974,0,72,6,Syn
17453,53957,452830.1887,53,0,12,6,Syn
60430,60430,1.634326612,36712368,0,48,6,Syn
20620,32131,255319.1489,47,0,12,6,Syn
57905,52324,12000000,1,0,12,6,Syn
15984,15984,1.281304083,56192750,0,60,6,Syn
58981,44370,250000,48,0,12,6,Syn
20991,23392,244897.9592,49,0,12,6,Syn
59784,49262,12000000,1,0,12,6,Syn
783,729,255319.1489,47,0,12,6,Syn
44862,36432,12000000,1,0,12,6,Syn
9599,60494,12000000,1,0,12,6,Syn
34993,56970,205128.2051,117,0,12,6,Syn
26813,48632,12000000,1,0,12,6,Syn
34482,34482,1.705135803,56300501,0,72,6,Syn
38572,20883,12000000,1,0,12,6,Syn
35525,35525,2.736209699,39470659,0,60,6,Syn
44719,58156,228571.4286,105,0,12,6,Syn
27151,41321,12000000,1,0,12,6,Syn
17674,36212,12000000,1,0,12,6,Syn
42836,10858,250000,48,0,12,6,Syn
53290,38154,6000000,2,0,12,6,Syn
32145,3336,279069.7674,86,0,12,6,Syn
37813,31416,324324.3243,74,0,12,6,Syn
49591,49591,1.22405561,58820857,0,60,6,Syn
7608,50602,12000000,1,0,12,6,Syn
23772,22322,220183.4862,109,0,12,6,Syn
45491,35856,12000000,1,0,12,6,Syn
22970,38752,12000000,1,0,12,6,Syn
19683,14108,12000000,1,0,12,6,Syn
25318,18057,233009.7087,103,0,12,6,Syn
63742,2799,12000000,1,0,12,6,Syn
35323,10469,193548.3871,124,0,12,6,Syn
64874,11003,12000000,1,0,12,6,Syn
56029,60927,3000000,4,0,12,6,Syn
659,229,12000000,1,0,12,6,Syn
27911,54900,235294.1176,102,0,12,6,Syn
41595,30563,444444.4444,54,0,12,6,Syn
50711,32480,12000000,1,0,12,6,Syn
25736,34008,461538.4615,52,0,12,6,Syn
62076,46584,320000,75,0,12,6,Syn
61772,52820,444444.4444,54,0,12,6,Syn
29374,34302,228571.4286,105,0,12,6,Syn
33209,2914,12000000,1,0,12,6,Syn
41957,61886,6000000,2,0,12,6,Syn
63859,39342,237623.7624,101,0,12,6,Syn
61741,41046,12000000,1,0,12,6,Syn
9890,56804,218181.8182,110,0,12,6,Syn
41601,28990,12000000,1,0,12,6,Syn
37216,26386,12000000,1,0,12,6,Syn
39631,27702,240000,100,0,12,6,Syn
64723,39640,12000000,1,0,12,6,Syn
57363,28026,201680.6723,119,0,12,6,Syn
27263,22007,235294.1176,102,0,12,6,Syn
65428,5012,1.208912222,39705116,0,48,6,Syn
58964,56998,12000000,1,0,12,6,Syn
37968,37968,1.936106704,24792022,0,36,6,Syn
27956,20200,244897.9592,49,0,12,6,Syn
64433,42713,12000000,1,0,12,6,Syn
44333,3210,228571.4286,105,0,12,6,Syn
57154,65324,214285.7143,112,0,12,6,Syn
36279,41665,12000000,1,0,12,6,Syn
35371,61076,244897.9592,49,0,12,6,Syn
20147,41744,282352.9412,85,0,12,6,Syn
11054,23413,250000,48,0,12,6,Syn
23751,10375,12000000,1,0,12,6,Syn
12600,52150,228571.4286,105,0,12,6,Syn
7547,58934,214285.7143,112,0,12,6,Syn
52076,6101,12000000,1,0,12,6,Syn
22759,35878,272727.2727,44,0,12,6,Syn
20084,43273,235294.1176,102,0,12,6,Syn
30789,35675,12000000,1,0,12,6,Syn
48150,11355,12000000,1,0,12,6,Syn
47857,11289,244897.9592,98,0,12,6,Syn
6638,19208,12000000,1,0,12,6,Syn
41213,41213,1.425835657,42080586,0,48,6,Syn
64112,13315,244897.9592,49,0,12,6,Syn
28853,7017,12000000,1,0,12,6,Syn
19093,1356,240000,50,0,12,6,Syn
29289,2625,6000000,2,0,12,6,Syn
36582,36582,1.478205636,64943603,0,72,6,Syn
24900,4790,12000000,1,0,12,6,Syn
60891,50882,480000,50,0,12,6,Syn
56683,1279,5.517228696,4350010,0,24,6,Syn
56759,53669,12000000,1,0,12,6,Syn
24314,59118,242424.2424,99,0,12,6,Syn
11452,27525,272727.2727,44,0,12,6,Syn
23548,23548,2.034157574,23596992,0,36,6,Syn
37606,44675,12000000,1,0,12,6,Syn
53932,58406,12000000,1,0,12,6,Syn
25716,56722,12000000,1,0,12,6,Syn
62259,1843,1.335022235,53931686,0,60,6,Syn
30632,55374,363636.3636,66,0,12,6,Syn
21599,59997,12000000,1,0,12,6,Syn
24065,16046,224299.0654,107,0,12,6,Syn
44256,44256,1.73892336,62107395,0,84,6,Syn
28261,54243,240000,100,0,12,6,Syn
30153,46551,208695.6522,115,0,12,6,Syn
5331,59928,240000,100,0,12,6,Syn
5590,18844,216216.2162,111,0,12,6,Syn
27549,27549,1.320845619,63595623,0,72,6,Syn
62892,41942,12000000,1,0,12,6,Syn
45442,32736,12000000,1,0,12,6,Syn
58876,40227,4000000,3,0,12,6,Syn
62195,11872,12000000,1,0,12,6,Syn
50911,50911,1.330487986,54115483,0,60,6,Syn
12930,5558,260869.5652,46,0,12,6,Syn
5652,43933,12000000,1,0,12,6,Syn
18009,54876,12000000,1,0,12,6,Syn
43910,9678,12000000,1,0,12,6,Syn
43259,43259,1.188084904,40401153,0,36,6,Syn
9366,35203,12000000,1,0,12,6,Syn
64850,38604,12000000,1,0,12,6,Syn
13536,51182,244897.9592,49,0,12,6,Syn
64298,34259,250000,48,0,12,6,Syn
28234,50108,235294.1176,102,0,12,6,Syn
62625,56303,452830.1887,53,0,12,6,Syn
10997,48648,260869.5652,46,0,12,6,Syn
19782,47923,12000000,1,0,12,6,Syn
922,561,9.971701143,2406811,0,24,6,Syn
29842,29842,1.586063402,45395411,0,48,6,Syn
15772,15772,1.489917865,32216541,0,36,6,Syn
28972,32783,12000000,1,0,12,6,Syn
5474,12057,12000000,1,0,12,6,Syn
63480,45415,230769.2308,104,0,12,6,Syn
21091,34847,237623.7624,101,0,12,6,Syn
64066,6396,208695.6522,115,0,12,6,Syn
62382,48110,12000000,1,0,12,6,Syn
41717,10248,12000000,1,0,12,6,Syn
37075,36349,292682.9268,82,0,12,6,Syn
22066,19302,237623.7624,101,0,12,6,Syn
14411,14805,12000000,1,0,12,6,Syn
37341,13345,12000000,1,0,12,6,Syn
24387,24387,1.391418363,68994346,0,72,6,Syn
48545,9102,12000000,1,0,12,6,Syn
27617,4187,203389.8305,118,0,12,6,Syn
9061,20433,12000000,1,0,12,6,Syn
48980,35736,244897.9592,98,0,12,6,Syn
43576,23452,12000000,1,0,12,6,Syn
21248,59522,250000,96,0,12,6,Syn
60363,51230,250000,48,0,12,6,Syn
16730,29866,255319.1489,47,0,12,6,Syn
52375,50464,240000,100,0,12,6,Syn
65469,41166,12000000,1,0,12,6,Syn
19340,39613,244897.9592,49,0,12,6,Syn
25709,44872,250000,48,0,12,6,Syn
35191,35191,1.271332092,37755674,0,36,6,Syn
64122,5238,7.533306632,3185852,0,24,6,Syn
6036,27670,12000000,1,0,12,6,Syn
12381,5296,247422.6804,97,0,12,6,Syn
64805,32889,5.622113835,4268857,0,24,6,Syn
50329,51196,12000000,1,0,12,6,Syn
30465,48001,12000000,1,0,12,6,Syn
37596,60641,224299.0654,107,0,12,6,Syn
11961,11961,1.169107902,41056946,0,48,6,Syn
26276,17770,226415.0943,106,0,12,6,Syn
60775,45313,369230.7692,65,0,12,6,Syn
62183,3177,333333.3333,72,0,12,6,Syn
871,971,12000000,1,0,12,6,Syn
19394,60225,12000000,1,0,12,6,Syn
51660,43294,12000000,1,0,12,6,Syn
19436,44056,6000000,2,0,12,6,Syn
61946,56442,237623.7624,101,0,12,6,Syn
5235,5235,1.714350982,13999467,0,24,6,Syn
41257,29368,12000000,1,0,12,6,Syn
36657,57506,233009.7087,103,0,12,6,Syn
65249,5541,375000,32,0,12,6,Syn
29121,33204,6000000,2,0,12,6,Syn
53496,17684,12000000,1,0,12,6,Syn
60307,4574,12000000,1,0,12,6,Syn
17865,62702,240000,100,0,12,6,Syn
61004,31872,12000000,1,0,12,6,Syn
13792,40862,12000000,1,0,12,6,Syn
36331,12179,147239.2638,163,0,12,6,Syn
62185,50539,421052.6316,57,0,12,6,Syn
7657,61386,240000,50,0,12,6,Syn
28473,40709,470588.2353,51,0,12,6,Syn
31859,1508,255319.1489,47,0,12,6,Syn
60790,11385,205128.2051,117,0,12,6,Syn
21690,35853,228571.4286,105,0,12,6,Syn
13141,44151,12000000,1,0,12,6,Syn
32710,32710,1.722034765,48779503,0,60,6,Syn
22961,21249,12000000,1,0,12,6,Syn
62402,62441,181818.1818,132,0,12,6,Syn
23071,35329,12000000,1,0,12,6,Syn
23829,31469,206896.5517,116,0,12,6,Syn
65012,13456,12000000,1,0,12,6,Syn
63969,20212,250000,48,0,12,6,Syn
8976,38006,6000000,2,0,12,6,Syn
19378,51219,12000000,1,0,12,6,Syn
57225,50945,12000000,1,0,12,6,Syn
53563,21797,12000000,1,0,12,6,Syn
40377,2580,218181.8182,110,0,12,6,Syn
10518,44348,12000000,1,0,12,6,Syn
7962,64916,12000000,1,0,12,6,Syn
35306,31533,12000000,1,0,12,6,Syn
5452,27305,12000000,1,0,12,6,Syn
55352,52969,12000000,1,0,12,6,Syn
52038,25250,6000000,4,0,12,6,Syn
46567,46567,1.383189914,34702393,0,36,6,Syn
22241,28993,12000000,1,0,12,6,Syn
35745,51211,244897.9592,49,0,12,6,Syn
46615,32468,235294.1176,102,0,12,6,Syn
46658,14310,12000000,1,0,12,6,Syn
30806,30136,240000,100,0,12,6,Syn
14538,11268,266666.6667,45,0,12,6,Syn
39434,57043,260869.5652,46,0,12,6,Syn
11855,15551,233009.7087,103,0,12,6,Syn
33960,32969,12000000,1,0,12,6,Syn
17614,32909,12000000,1,0,12,6,Syn
30445,30445,2.283942997,63048859,0,96,6,Syn
61788,7888,12000000,1,0,12,6,Syn
27423,14951,220183.4862,109,0,12,6,Syn
28623,28623,2.583079978,46456169,0,72,6,Syn
51226,51226,1.901684281,44171370,0,60,6,Syn
7490,12476,12000000,1,0,12,6,Syn
28845,37482,260869.5652,46,0,12,6,Syn
37407,18276,240000,100,0,12,6,Syn
18009,37309,342857.1429,70,0,12,6,Syn
48020,48020,1.453617153,57786880,0,60,6,Syn
26724,41669,206896.5517,116,0,12,6,Syn
61048,7645,220183.4862,109,0,12,6,Syn
48194,64102,244897.9592,49,0,12,6,Syn
29747,13283,12000000,1,0,12,6,Syn
27762,17228,12000000,1,0,12,6,Syn
52811,52811,1.534484666,39101075,0,36,6,Syn
31161,31161,1.23250945,58417402,0,60,6,Syn
25452,25452,1.37954363,43492644,0,48,6,Syn
55270,31398,12000000,1,0,12,6,Syn
63410,39263,171428.5714,140,0,12,6,Syn
49114,17913,311688.3117,77,0,12,6,Syn
56060,45813,12000000,1,0,12,6,Syn
41949,21816,12000000,1,0,12,6,Syn
6397,43426,242424.2424,99,0,12,6,Syn
30828,64590,352941.1765,68,0,12,6,Syn
33503,51443,240000,100,0,12,6,Syn
62478,2062,2.695091901,13357615,0,24,6,Syn
43829,11746,176470.5882,136,0,12,6,Syn
64701,47581,12000000,1,0,12,6,Syn
16373,16070,235294.1176,102,0,12,6,Syn
39765,34441,12000000,1,0,12,6,Syn
13846,48120,6000000,2,0,12,6,Syn
60811,62652,12000000,1,0,12,6,Syn
54254,27398,12000000,1,0,12,6,Syn
64449,35777,208695.6522,115,0,12,6,Syn
33069,33069,2.076321602,11558903,0,24,6,Syn
13473,13333,12000000,1,0,12,6,Syn
62599,1267,235294.1176,51,0,12,6,Syn
44807,41139,12000000,1,0,12,6,Syn
62711,36761,12000000,1,0,12,6,Syn
58918,15753,224299.0654,107,0,12,6,Syn
16572,25725,12000000,1,0,12,6,Syn
778,201,12000000,1,0,12,6,Syn
32102,6202,6000000,2,0,12,6,Syn
19613,53856,12000000,1,0,12,6,Syn
21410,52398,230769.2308,104,0,12,6,Syn
15919,34232,242424.2424,99,0,12,6,Syn
54557,41035,263736.2637,91,0,12,6,Syn
25540,25540,3.22700183,22311732,0,36,6,Syn
56401,58015,311688.3117,77,0,12,6,Syn
62020,43546,12000000,1,0,12,6,Syn
8404,55649,235294.1176,102,0,12,6,Syn
26762,29900,216216.2162,111,0,12,6,Syn
8538,57895,222222.2222,108,0,12,6,Syn
11417,17797,12000000,1,0,12,6,Syn
52346,60678,240000,50,0,12,6,Syn
36037,50420,244897.9592,49,0,12,6,Syn
6838,6838,2.485656622,48276982,0,72,6,Syn
9810,29603,12000000,1,0,12,6,Syn
53476,22076,216216.2162,111,0,12,6,Syn
16728,63130,12000000,1,0,12,6,Syn
14770,44685,216216.2162,111,0,12,6,Syn
56579,29519,12000000,1,0,12,6,Syn
61243,3751,222222.2222,108,0,12,6,Syn
60764,37547,12000000,1,0,12,6,Syn
62770,36442,12000000,1,0,12,6,Syn
13503,10986,6000000,2,0,12,6,Syn
53797,12338,12000000,1,0,12,6,Syn
23177,19690,260869.5652,46,0,12,6,Syn
28846,9104,406779.661,59,0,12,6,Syn
26624,37927,12000000,1,0,12,6,Syn
34647,36908,12000000,1,0,12,6,Syn
5313,29709,12000000,1,0,12,6,Syn
26352,2995,12000000,1,0,12,6,Syn
56910,61447,235294.1176,102,0,12,6,Syn
13604,27471,228571.4286,105,0,12,6,Syn
22056,51945,12000000,1,0,12,6,Syn
5697,26691,461538.4615,52,0,12,6,Syn
53265,53265,1.021661219,23491153,0,24,6,Syn
41181,40253,6000000,2,0,12,6,Syn
59727,36659,255319.1489,47,0,12,6,Syn
8293,8293,1.096094815,65687748,0,60,6,Syn
7635,16299,255319.1489,47,0,12,6,Syn
32790,32499,12000000,1,0,12,6,Syn
10881,65059,12000000,1,0,12,6,Syn
43664,16849,285714.2857,84,0,12,6,Syn
5379,2052,6000000,2,0,12,6,Syn
46484,11533,203389.8305,118,0,12,6,Syn
30136,40733,12000000,1,0,12,6,Syn
19553,19553,1.810977226,46383797,0,60,6,Syn
25361,33162,240000,100,0,12,6,Syn
48937,30920,240000,100,0,12,6,Syn
55044,15041,142011.8343,169,0,12,6,Syn
57592,5760,12000000,1,0,12,6,Syn
8962,11998,237623.7624,101,0,12,6,Syn
55929,43461,857142.8571,28,0,12,6,Syn
13277,32988,12000000,1,0,12,6,Syn
61120,54779,428571.4286,56,0,12,6,Syn
39048,25600,12000000,1,0,12,6,Syn
36734,7637,480000,50,0,12,6,Syn
62501,14115,12000000,1,0,12,6,Syn
47392,29979,233009.7087,103,0,12,6,Syn
59239,51755,12000000,1,0,12,6,Syn
19706,21508,244897.9592,49,0,12,6,Syn
62195,7574,230769.2308,104,0,12,6,Syn
15691,2343,12000000,1,0,12,6,Syn
7598,7598,1.579565503,60776207,0,72,6,Syn
15274,5745,452830.1887,53,0,12,6,Syn
31059,34389,12000000,1,0,12,6,Syn
50071,29478,233009.7087,103,0,12,6,Syn
10608,10608,1.090938249,32999118,0,36,6,Syn
26263,44679,142011.8343,169,0,12,6,Syn
27070,62433,214285.7143,112,0,12,6,Syn
62841,47263,12000000,1,0,12,6,Syn
31978,34528,470588.2353,51,0,12,6,Syn
64527,6936,452830.1887,53,0,12,6,Syn
52529,52664,444444.4444,54,0,12,6,Syn
17934,52578,12000000,1,0,12,6,Syn
9377,9377,1.358991921,61810522,0,60,6,Syn
33682,43353,250000,48,0,12,6,Syn
834,30,12000000,1,0,12,6,Syn
21653,3856,12000000,1,0,12,6,Syn
47971,6089,228571.4286,105,0,12,6,Syn
22392,9756,12000000,1,0,12,6,Syn
39146,9438,233009.7087,103,0,12,6,Syn
18310,28455,240000,100,0,12,6,Syn
47290,42096,12000000,1,0,12,6,Syn
61090,23207,244897.9592,49,0,12,6,Syn
45629,39232,12000000,1,0,12,6,Syn
911,934,240000,100,0,12,6,Syn
15361,63954,461538.4615,52,0,12,6,Syn
33966,62200,179104.4776,134,0,12,6,Syn
45759,11301,260869.5652,46,0,12,6,Syn
64018,52659,12000000,1,0,12,6,Syn
12092,12092,1.914865879,56400817,0,72,6,Syn
62350,61255,3.147286724,7625616,0,24,6,Syn
14595,28435,12000000,1,0,12,6,Syn
21713,3099,12000000,1,0,12,6,Syn
42427,24857,12000000,1,0,12,6,Syn
47849,51167,12000000,1,0,12,6,Syn
9579,18261,444444.4444,54,0,12,6,Syn
63547,12610,296296.2963,81,0,12,6,Syn
52949,64658,3428571.429,7,0,12,6,Syn
45357,35955,233009.7087,103,0,12,6,Syn
13421,39708,12000000,1,0,12,6,Syn
17221,26898,218181.8182,110,0,12,6,Syn
39870,18057,12000000,1,0,12,6,Syn
21141,4431,452830.1887,53,0,12,6,Syn
7210,61217,12000000,1,0,12,6,Syn
28339,9217,201680.6723,119,0,12,6,Syn
24573,22218,12000000,1,0,12,6,Syn
19102,23424,461538.4615,52,0,12,6,Syn
7766,54873,233009.7087,103,0,12,6,Syn
16842,9024,216216.2162,111,0,12,6,Syn
31945,49802,452830.1887,53,0,12,6,Syn
31631,51108,12000000,1,0,12,6,Syn
62364,5340,244897.9592,49,0,12,6,Syn
14004,46337,240000,50,0,12,6,Syn
52184,37731,235294.1176,51,0,12,6,Syn
38580,5679,4.400950825,5453367,0,24,6,Syn
16740,3030,240000,100,0,12,6,Syn
47350,14095,12000000,1,0,12,6,Syn
24013,44641,255319.1489,47,0,12,6,Syn
20279,40116,12000000,1,0,12,6,Syn
60604,62396,12000000,1,0,12,6,Syn
64800,10230,235294.1176,102,0,12,6,Syn
54826,23619,206896.5517,116,0,12,6,Syn
62036,51376,12000000,1,0,12,6,Syn
49836,30951,6000000,2,0,12,6,Syn
60369,60369,1.58786154,60458672,0,72,6,Syn
9699,53573,6000000,2,0,12,6,Syn
44431,40225,12000000,1,0,12,6,Syn
22022,28456,12000000,1,0,12,6,Syn
9912,23660,12000000,1,0,12,6,Syn
60489,14729,12000000,1,0,12,6,Syn
36021,56444,228571.4286,105,0,12,6,Syn
30780,22272,12000000,1,0,12,6,Syn
19850,51104,255319.1489,47,0,12,6,Syn
61958,22588,6000000,2,0,12,6,Syn
19423,21547,208695.6522,115,0,12,6,Syn
46232,37775,12000000,1,0,12,6,Syn
20809,54697,12000000,1,0,12,6,Syn
16997,19545,12000000,1,0,12,6,Syn
54261,35668,4000000,3,0,12,6,Syn
44133,24343,375000,64,0,12,6,Syn
55545,52906,12000000,1,0,12,6,Syn
13606,46442,428571.4286,56,0,12,6,Syn
48813,35427,12000000,1,0,12,6,Syn
45913,50344,255319.1489,47,0,12,6,Syn
18796,48130,12000000,1,0,12,6,Syn
25343,55118,250000,48,0,12,6,Syn
