FwdPacketLengthMax,Total Length of Fwd Packets,Flow Bytes/s, Protocol, Source Port, ACK Flag Count, Flow Duration, Label
6,12,12000000,6,29297,1,1,Syn
6,12,444444.4444,6,64647,1,54,Syn
6,12,12000000,6,62906,1,1,Syn
6,12,272727.2727,6,6989,1,88,Syn
6,12,12000000,6,62567,1,1,Syn
6,12,255319.1489,6,39647,1,47,Syn
6,12,12000000,6,50694,1,1,Syn
6,48,1.358479903,6,29672,1,53000416,Syn
6,12,12000000,6,45558,1,1,Syn
6,12,12000000,6,17590,1,1,Syn
6,12,218181.8182,6,59684,1,110,Syn
6,12,240000,6,63044,1,100,Syn
6,12,165517.2414,6,35365,1,145,Syn
6,12,12000000,6,44480,1,1,Syn
6,12,12000000,6,53123,1,1,Syn
6,12,12000000,6,24267,1,1,Syn
6,12,12000000,6,49669,1,1,Syn
6,60,1.261391637,6,29252,1,57079814,Syn
6,12,235294.1176,6,17554,1,102,Syn
6,84,2.186195741,6,64477,1,65867844,Syn
6,12,198347.1074,6,37113,1,121,Syn
6,12,250000,6,23959,1,48,Syn
6,12,12000000,6,47196,1,1,Syn
6,12,406779.661,6,38074,1,59,Syn
6,12,12000000,6,20618,1,1,Syn
6,12,461538.4615,6,33705,1,52,Syn
6,60,1.107689462,6,12910,1,65000167,Syn
6,12,6000000,6,35197,1,2,Syn
6,12,375000,6,8979,1,64,Syn
6,12,12000000,6,29153,1,1,Syn
6,12,244897.9592,6,47891,1,49,Syn
6,72,1.615388677,6,44153,1,59428422,Syn
6,12,358208.9552,6,38728,1,67,Syn
6,48,1.622277438,6,45453,1,44382051,Syn
6,36,0.971184353,6,849,1,49424190,Syn
6,48,1.207632965,6,12437,1,39747176,Syn
6,12,6000000,6,17197,1,2,Syn
6,48,2.077519285,6,63808,1,34656718,Syn
6,72,1.213983056,6,56108,1,69193717,Syn
6,12,461538.4615,6,19207,1,52,Syn
6,12,242424.2424,6,52327,1,99,Syn
6,12,12000000,6,19853,1,1,Syn
6,12,406779.661,6,11047,1,59,Syn
6,12,12000000,6,14328,1,1,Syn
6,60,0.985742332,6,54164,1,73041400,Syn
6,12,12000000,6,30091,1,1,Syn
6,12,244897.9592,6,15581,1,49,Syn
6,48,1.015816036,6,58420,1,59065813,Syn
6,12,12000000,6,7843,1,1,Syn
6,12,12000000,6,64797,1,1,Syn
6,12,6000000,6,38380,1,2,Syn
6,72,1.610055143,6,54410,1,59625287,Syn
6,12,6000000,6,60611,1,2,Syn
6,12,272727.2727,6,40398,1,44,Syn
6,36,0.999992417,6,37376,1,36000273,Syn
6,12,12000000,6,45398,1,1,Syn
6,12,250000,6,51112,1,48,Syn
6,12,206896.5517,6,7289,1,116,Syn
6,12,12000000,6,9938,1,1,Syn
6,12,164383.5616,6,657,1,73,Syn
6,12,12000000,6,62521,1,1,Syn
6,12,252631.5789,6,24019,1,95,Syn
6,12,12000000,6,57589,1,1,Syn
6,12,12000000,6,52602,1,1,Syn
6,60,1.087416862,6,20473,1,55176632,Syn
6,12,12000000,6,20369,1,1,Syn
6,12,260869.5652,6,893,1,46,Syn
6,12,214285.7143,6,64761,1,112,Syn
6,12,214285.7143,6,60298,1,112,Syn
6,36,0.663001667,6,54461,1,54298506,Syn
6,48,2.187097039,6,57995,1,32920350,Syn
6,12,226415.0943,6,16150,1,106,Syn
6,48,1.474292069,6,43355,1,40697499,Syn
6,12,255319.1489,6,29260,1,47,Syn
6,12,214285.7143,6,57819,1,112,Syn
6,12,237623.7624,6,18379,1,101,Syn
6,12,230769.2308,6,43533,1,104,Syn
6,12,12000000,6,12553,1,1,Syn
6,12,230769.2308,6,18549,1,52,Syn
6,12,250000,6,52077,1,48,Syn
6,12,12000000,6,36154,1,1,Syn
6,12,240000,6,62492,1,100,Syn
6,12,12000000,6,62269,1,1,Syn
6,12,12000000,6,38638,1,1,Syn
6,12,250000,6,16704,1,48,Syn
6,12,12000000,6,6042,1,1,Syn
6,12,12000000,6,23169,1,1,Syn
6,12,12000000,6,51026,1,1,Syn
6,12,12000000,6,11121,1,1,Syn
6,24,0.647192221,6,24998,1,37083264,Syn
6,12,220183.4862,6,8752,1,109,Syn
6,12,255319.1489,6,14219,1,47,Syn
6,48,1.448714668,6,26434,1,41416023,Syn
6,12,240000,6,62115,1,100,Syn
6,48,1.342407171,6,854,1,44695828,Syn
6,12,12000000,6,36645,1,1,Syn
6,12,224299.0654,6,45548,1,107,Syn
6,12,12000000,6,62639,1,1,Syn
6,12,12000000,6,62614,1,1,Syn
6,12,235294.1176,6,20359,1,51,Syn
6,12,233009.7087,6,45925,1,103,Syn
6,12,12000000,6,19376,1,1,Syn
6,12,12000000,6,35499,1,1,Syn
6,12,208695.6522,6,41006,1,115,Syn
6,12,250000,6,62973,1,48,Syn
6,12,12000000,6,64920,1,1,Syn
6,12,12000000,6,32033,1,1,Syn
6,12,12000000,6,22787,1,1,Syn
6,12,12000000,6,47932,1,1,Syn
6,12,12000000,6,41705,1,1,Syn
6,12,12000000,6,54835,1,1,Syn
6,12,12000000,6,11694,1,1,Syn
6,12,12000000,6,63635,1,1,Syn
6,12,12000000,6,42408,1,1,Syn
6,12,255319.1489,6,6453,1,47,Syn
6,12,266666.6667,6,38923,1,45,Syn
6,12,12000000,6,57910,1,1,Syn
6,12,240000,6,63197,1,100,Syn
6,60,1.294266219,6,5562,1,55629977,Syn
6,12,12000000,6,8444,1,1,Syn
6,12,220183.4862,6,62347,1,109,Syn
6,12,12000000,6,61748,1,1,Syn
6,12,12000000,6,54316,1,1,Syn
6,12,12000000,6,59386,1,1,Syn
6,12,12000000,6,40144,1,1,Syn
6,12,6000000,6,59104,1,2,Syn
6,12,220183.4862,6,24849,1,109,Syn
6,12,250000,6,64177,1,48,Syn
6,12,237623.7624,6,58185,1,101,Syn
6,12,358208.9552,6,63128,1,67,Syn
6,12,12000000,6,57709,1,1,Syn
6,36,0.582903612,6,63282,1,61759782,Syn
6,12,244897.9592,6,36258,1,98,Syn
6,12,184615.3846,6,63890,1,65,Syn
6,12,6000000,6,44121,1,2,Syn
6,12,240000,6,12258,1,50,Syn
6,12,12000000,6,8090,1,1,Syn
6,12,12000000,6,63579,1,1,Syn
6,12,12000000,6,32986,1,1,Syn
6,12,12000000,6,35727,1,1,Syn
347,694,231333333.3,17,41763,0,3,Syn
6,12,12000000,6,40535,1,1,Syn
6,12,12000000,6,7907,1,1,Syn
6,12,406779.661,6,62300,1,59,Syn
6,12,303797.4684,6,61514,1,79,Syn
6,12,12000000,6,858,1,1,Syn
6,72,1.722963983,6,26647,1,62682680,Syn
6,36,1.393400561,6,40801,1,25836074,Syn
6,12,12000000,6,30589,1,1,Syn
6,12,162162.1622,6,37971,1,74,Syn
6,12,244897.9592,6,41918,1,49,Syn
6,12,12000000,6,19711,1,1,Syn
6,12,12000000,6,59865,1,1,Syn
6,36,1.101234432,6,25301,1,32690587,Syn
6,12,12000000,6,49276,1,1,Syn
6,12,224299.0654,6,27750,1,107,Syn
6,12,188976.378,6,57328,1,127,Syn
6,12,250000,6,49731,1,48,Syn
6,72,1.85111926,6,34379,1,64825645,Syn
6,12,222222.2222,6,27422,1,108,Syn
6,12,222222.2222,6,30379,1,108,Syn
6,12,226415.0943,6,10257,1,106,Syn
6,12,255319.1489,6,27490,1,47,Syn
6,12,12000000,6,53286,1,1,Syn
6,12,244897.9592,6,39935,1,49,Syn
6,12,12000000,6,25308,1,1,Syn
6,12,12000000,6,13106,1,1,Syn
6,12,296296.2963,6,63836,1,81,Syn
6,12,6000000,6,62007,1,2,Syn
6,60,3.369547356,6,43515,1,35613092,Syn
6,12,12000000,6,61433,1,1,Syn
6,12,230769.2308,6,28381,1,104,Syn
6,12,12000000,6,31892,1,1,Syn
6,12,470588.2353,6,53321,1,51,Syn
6,12,218181.8182,6,40961,1,110,Syn
6,12,212389.3805,6,63811,1,113,Syn
6,12,210526.3158,6,18554,1,114,Syn
6,12,6000000,6,64465,1,4,Syn
6,48,2.190683613,6,38606,1,32866453,Syn
6,12,272727.2727,6,62036,1,44,Syn
6,48,1.343007414,6,64951,1,53611022,Syn
6,60,2.00859339,6,10848,1,47794641,Syn
6,12,244897.9592,6,8958,1,49,Syn
6,12,452830.1887,6,10257,1,53,Syn
6,12,12000000,6,57588,1,1,Syn
6,12,300000,6,35715,1,80,Syn
6,24,1.828781733,6,8851,1,19685236,Syn
6,12,461538.4615,6,45499,1,52,Syn
6,12,205128.2051,6,36175,1,117,Syn
6,48,1.01086084,6,46440,1,59355351,Syn
6,12,12000000,6,37341,1,1,Syn
6,12,12000000,6,21043,1,1,Syn
6,12,228571.4286,6,43113,1,105,Syn
6,12,12000000,6,25850,1,1,Syn
6,12,12000000,6,13188,1,1,Syn
6,36,2.045894006,6,40247,1,23461626,Syn
6,12,12000000,6,49167,1,1,Syn
6,12,244897.9592,6,7526,1,49,Syn
6,12,12000000,6,24248,1,1,Syn
6,12,12000000,6,65525,1,1,Syn
6,60,1.650656737,6,24107,1,50888836,Syn
6,12,240000,6,19305,1,50,Syn
6,36,1.35397868,6,16778,1,44313844,Syn
6,12,12000000,6,49592,1,1,Syn
6,12,244897.9592,6,63207,1,49,Syn
6,12,237623.7624,6,46053,1,101,Syn
6,12,176470.5882,6,37512,1,136,Syn
6,12,12000000,6,16476,1,1,Syn
6,12,12000000,6,41154,1,1,Syn
6,12,12000000,6,6128,1,1,Syn
6,12,12000000,6,14869,1,1,Syn
6,12,208695.6522,6,55403,1,115,Syn
6,12,12000000,6,13617,1,1,Syn
6,12,250000,6,15608,1,48,Syn
6,12,266666.6667,6,57908,1,45,Syn
6,12,177777.7778,6,44308,1,135,Syn
6,12,6000000,6,47253,1,2,Syn
6,12,12000000,6,12818,1,1,Syn
6,12,161073.8255,6,24940,1,149,Syn
6,60,1.478751841,6,48490,1,56804663,Syn
6,12,266666.6667,6,62650,1,90,Syn
6,12,233009.7087,6,31076,1,103,Syn
6,12,12000000,6,61837,1,1,Syn
6,12,12000000,6,6351,1,1,Syn
6,12,12000000,6,51778,1,1,Syn
6,12,6000000,6,63349,1,2,Syn
6,12,470588.2353,6,49555,1,51,Syn
6,12,218181.8182,6,32743,1,110,Syn
6,12,242424.2424,6,25148,1,99,Syn
6,12,12000000,6,9484,1,1,Syn
6,12,375000,6,34615,1,64,Syn
6,12,12000000,6,27924,1,1,Syn
6,12,255319.1489,6,9306,1,47,Syn
6,12,12000000,6,33861,1,1,Syn
6,12,244897.9592,6,20404,1,49,Syn
6,12,242424.2424,6,60511,1,99,Syn
6,12,12000000,6,5676,1,1,Syn
6,60,1.227604236,6,65041,1,58650824,Syn
6,12,218181.8182,6,63212,1,110,Syn
6,12,12000000,6,49535,1,1,Syn
6,12,12000000,6,30562,1,1,Syn
6,12,12000000,6,15650,1,1,Syn
6,12,12000000,6,37574,1,1,Syn
6,48,1.56752674,6,25199,1,38276859,Syn
6,12,12000000,6,62339,1,1,Syn
6,12,230769.2308,6,63447,1,104,Syn
6,12,260869.5652,6,32390,1,46,Syn
6,48,1.99112715,6,10819,1,36160423,Syn
6,12,12000000,6,65482,1,1,Syn
6,12,258064.5161,6,28727,1,93,Syn
6,12,242424.2424,6,57658,1,99,Syn
6,12,12000000,6,38358,1,1,Syn
6,12,237623.7624,6,30337,1,101,Syn
6,12,12000000,6,55667,1,1,Syn
6,12,12000000,6,62583,1,1,Syn
6,12,255319.1489,6,49924,1,47,Syn
6,12,198347.1074,6,39831,1,121,Syn
6,108,3.471091243,6,18645,1,55314017,Syn
6,12,12000000,6,36726,1,1,Syn
6,12,222222.2222,6,23056,1,108,Syn
6,12,12000000,6,60710,1,1,Syn
6,12,452830.1887,6,29129,1,53,Syn
6,12,12000000,6,38867,1,1,Syn
6,12,480000,6,10907,1,50,Syn
6,12,169014.0845,6,49920,1,142,Syn
6,12,260869.5652,6,23256,1,92,Syn
6,12,230769.2308,6,42414,1,104,Syn
6,12,12000000,6,31037,1,1,Syn
6,36,1.109762775,6,8671,1,43252487,Syn
6,12,244897.9592,6,17036,1,49,Syn
6,12,240000,6,36475,1,100,Syn
6,12,12000000,6,38439,1,1,Syn
6,12,12000000,6,53825,1,1,Syn
6,12,12000000,6,18839,1,1,Syn
6,12,214285.7143,6,52315,1,112,Syn
6,12,240000,6,5880,1,100,Syn
6,12,311688.3117,6,14966,1,77,Syn
6,12,228571.4286,6,26146,1,105,Syn
6,12,212389.3805,6,20551,1,113,Syn
6,12,6000000,6,14475,1,2,Syn
6,12,352941.1765,6,29779,1,34,Syn
6,12,6000000,6,63924,1,2,Syn
6,12,303797.4684,6,48583,1,79,Syn
6,12,240000,6,39359,1,100,Syn
6,24,0.728705915,6,64460,1,32935097,Syn
6,12,205128.2051,6,9347,1,117,Syn
6,12,12000000,6,60547,1,1,Syn
6,12,244897.9592,6,14866,1,49,Syn
6,60,1.085542858,6,5403,1,55271885,Syn
6,12,12000000,6,26166,1,1,Syn
6,12,461538.4615,6,44270,1,52,Syn
6,12,237623.7624,6,47616,1,101,Syn
6,12,12000000,6,35127,1,1,Syn
6,12,12000000,6,36606,1,1,Syn
6,12,12000000,6,16754,1,1,Syn
6,12,12000000,6,7545,1,1,Syn
6,12,12000000,6,44254,1,1,Syn
6,12,222222.2222,6,15661,1,108,Syn
6,12,444444.4444,6,62159,1,54,Syn
6,12,250000,6,10066,1,96,Syn
6,12,12000000,6,63896,1,1,Syn
6,12,12000000,6,26954,1,1,Syn
6,12,12000000,6,52998,1,1,Syn
6,12,218181.8182,6,29469,1,110,Syn
6,12,250000,6,49740,1,96,Syn
6,12,12000000,6,53744,1,1,Syn
6,60,1.0267475,6,40876,1,70124349,Syn
6,12,218181.8182,6,31077,1,110,Syn
6,12,12000000,6,56729,1,1,Syn
6,12,180451.1278,6,45139,1,133,Syn
6,12,250000,6,50073,1,48,Syn
6,12,218181.8182,6,32155,1,110,Syn
6,12,224299.0654,6,51179,1,107,Syn
6,12,260869.5652,6,34367,1,46,Syn
6,12,12000000,6,36185,1,1,Syn
6,12,244897.9592,6,55987,1,98,Syn
6,12,12000000,6,8029,1,1,Syn
6,12,12000000,6,64920,1,1,Syn
6,12,12000000,6,28816,1,1,Syn
6,12,247422.6804,6,14633,1,97,Syn
6,12,12000000,6,49704,1,1,Syn
6,12,12000000,6,57934,1,1,Syn
6,12,289156.6265,6,44372,1,83,Syn
6,12,240000,6,58915,1,100,Syn
6,12,12000000,6,47247,1,1,Syn
6,12,452830.1887,6,57940,1,53,Syn
6,12,12000000,6,25807,1,1,Syn
6,12,240000,6,23698,1,100,Syn
6,72,1.432297106,6,9997,1,58647050,Syn
6,12,303797.4684,6,62033,1,79,Syn
6,12,12000000,6,12995,1,1,Syn
6,12,12000000,6,33779,1,1,Syn
6,12,12000000,6,64461,1,1,Syn
6,12,212389.3805,6,9219,1,113,Syn
6,12,296296.2963,6,55368,1,81,Syn
6,12,224299.0654,6,60488,1,107,Syn
6,12,12000000,6,28453,1,1,Syn
6,12,201680.6723,6,53914,1,119,Syn
6,48,1.094056872,6,40413,1,54841756,Syn
6,12,12000000,6,55073,1,1,Syn
6,12,12000000,6,22161,1,1,Syn
6,12,12000000,6,23528,1,1,Syn
6,12,12000000,6,63360,1,1,Syn
6,12,452830.1887,6,64215,1,53,Syn
6,12,240000,6,36192,1,50,Syn
6,12,12000000,6,56055,1,1,Syn
6,12,180451.1278,6,32070,1,133,Syn
6,12,12000000,6,26428,1,1,Syn
6,12,12000000,6,56015,1,1,Syn
6,12,196721.3115,6,20026,1,122,Syn
6,12,12000000,6,62044,1,1,Syn
6,12,12000000,6,10549,1,1,Syn
6,12,6000000,6,27362,1,2,Syn
6,12,12000000,6,30605,1,1,Syn
6,12,480000,6,31359,1,50,Syn
6,12,228571.4286,6,11740,1,105,Syn
6,12,12000000,6,65523,1,1,Syn
6,12,12000000,6,22927,1,1,Syn
6,12,235294.1176,6,61715,1,102,Syn
6,12,12000000,6,36847,1,1,Syn
6,12,235294.1176,6,44733,1,102,Syn
6,12,218181.8182,6,48328,1,110,Syn
6,12,250000,6,20557,1,48,Syn
6,12,12000000,6,47165,1,1,Syn
6,12,6000000,6,17677,1,2,Syn
6,12,244897.9592,6,45731,1,98,Syn
6,12,242424.2424,6,7024,1,99,Syn
6,60,1.687005095,6,57251,1,56905578,Syn
6,12,12000000,6,58991,1,1,Syn
6,12,201680.6723,6,19639,1,119,Syn
6,12,260869.5652,6,53596,1,46,Syn
6,12,393442.623,6,55534,1,61,Syn
6,12,12000000,6,19164,1,1,Syn
6,12,480000,6,65250,1,50,Syn
6,12,230769.2308,6,58711,1,104,Syn
6,12,260869.5652,6,8687,1,46,Syn
6,12,12000000,6,31999,1,1,Syn
6,12,235294.1176,6,29976,1,102,Syn
6,12,12000000,6,31462,1,1,Syn
6,48,1.707631902,6,10999,1,35136378,Syn
6,12,12000000,6,63401,1,1,Syn
6,12,12000000,6,13873,1,1,Syn
6,12,210526.3158,6,27921,1,114,Syn
6,12,12000000,6,9280,1,1,Syn
6,12,12000000,6,14654,1,1,Syn
6,12,218181.8182,6,20349,1,110,Syn
6,12,244897.9592,6,24313,1,49,Syn
6,12,12000000,6,41861,1,1,Syn
6,12,244897.9592,6,62145,1,49,Syn
6,12,470588.2353,6,15854,1,51,Syn
6,12,233009.7087,6,62030,1,103,Syn
6,12,12000000,6,41126,1,1,Syn
6,12,12000000,6,12090,1,1,Syn
6,12,226415.0943,6,62948,1,106,Syn
6,12,452830.1887,6,63984,1,53,Syn
6,12,369230.7692,6,10357,1,65,Syn
6,12,12000000,6,7910,1,1,Syn
6,48,1.160549802,6,40211,1,51699634,Syn
6,12,255319.1489,6,33970,1,47,Syn
6,12,235294.1176,6,24577,1,51,Syn
6,12,12000000,6,65362,1,1,Syn
6,48,0.998861531,6,63831,1,60068386,Syn
6,12,6000000,6,26876,1,2,Syn
6,12,12000000,6,27300,1,1,Syn
6,72,1.862568519,6,30565,1,57984444,Syn
6,12,107142.8571,6,7816,1,224,Syn
6,12,240000,6,36249,1,100,Syn
6,72,1.967201086,6,24146,1,61000373,Syn
6,12,12000000,6,5200,1,1,Syn
6,12,220183.4862,6,51918,1,109,Syn
6,12,12000000,6,29244,1,1,Syn
6,12,6000000,6,59433,1,2,Syn
6,12,203389.8305,6,53372,1,118,Syn
6,12,255319.1489,6,36770,1,47,Syn
6,12,461538.4615,6,12539,1,52,Syn
6,12,235294.1176,6,23550,1,102,Syn
6,12,222222.2222,6,23725,1,108,Syn
6,12,179104.4776,6,62798,1,134,Syn
6,12,12000000,6,13228,1,1,Syn
6,12,220183.4862,6,31510,1,109,Syn
6,12,235294.1176,6,45315,1,51,Syn
6,60,1.741842597,6,13802,1,55114050,Syn
6,12,338028.169,6,7192,1,71,Syn
6,12,12000000,6,23755,1,1,Syn
6,12,12000000,6,7863,1,1,Syn
6,12,255319.1489,6,42855,1,47,Syn
6,12,6000000,6,52815,1,2,Syn
6,12,250000,6,33759,1,48,Syn
6,12,196721.3115,6,53649,1,122,Syn
6,12,12000000,6,65468,1,1,Syn
6,12,12000000,6,24026,1,1,Syn
6,12,12000000,6,6002,1,1,Syn
6,12,222222.2222,6,7451,1,108,Syn
6,12,198347.1074,6,65238,1,121,Syn
6,12,12000000,6,19022,1,1,Syn
6,72,1.735632283,6,46604,1,62225162,Syn
6,12,224299.0654,6,57076,1,107,Syn
6,12,201680.6723,6,12547,1,119,Syn
6,36,0.947320419,6,54099,1,50669234,Syn
6,12,12000000,6,38265,1,1,Syn
6,12,12000000,6,20720,1,1,Syn
6,12,12000000,6,15483,1,1,Syn
6,12,470588.2353,6,20794,1,51,Syn
6,12,235294.1176,6,64407,1,102,Syn
6,12,235294.1176,6,34191,1,102,Syn
6,12,240000,6,63129,1,50,Syn
